title,year,genres,imdb_rating,local_gross,worldwide_gross,budget,opening_weekend,url
Wild Card,2003,"['Comedy', 'Thriller', 'Drama', 'Back to top', 'Action', 'Crime']",6.6,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0363211/
Boss X-File,2002,"['Back to top', 'Comedy']",4.3,N/A,"$6,373,498",N/A,N/A,https://www.imdb.com/title/tt0330086/
Love Is a Crazy Thing,2005,"['Back to top', 'Romance']",6.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0488807/
Silmido,2003,"['Back to top', 'Action', 'Drama']",7.0,"$298,347","$4,855,181","$8,000,000 (estimated)",N/A,https://www.imdb.com/title/tt0387596/
The President's Last Bang,2005,"['Political Drama', 'Comedy', 'Thriller', 'Dark Comedy', 'Drama', 'Back to top', 'History']",6.9,"$9,724","$9,724",N/A,"$1,862",https://www.imdb.com/title/tt0445396/
Garden of Heaven,2003,"['Back to top', 'Drama', 'Romance']",5.6,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0358503/
The Bad Utterances,2004,"['Back to top', 'Drama']",5.0,N/A,N/A,"$170,000 (estimated)",N/A,https://www.imdb.com/title/tt0428055/
Four-Letter Words,2002,"['Action', 'Back to top', 'Romance']",4.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0340328/
Siren,2000,"['Back to top', 'Drama']",5.4,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0251402/
This Charming Girl,2004,"['Back to top', 'Drama']",6.8,N/A,"$225,557","$1,000,000 (estimated)",N/A,https://www.imdb.com/title/tt0436979/
Natural City,2003,"['Thriller', 'Drama', 'Back to top', 'Sci-Fi', 'Action']",5.7,N/A,"$124,677",N/A,N/A,https://www.imdb.com/title/tt0378428/
Oollala Sisters,2002,"['Back to top', 'Drama']",4.7,N/A,"$4,454,045",N/A,N/A,https://www.imdb.com/title/tt0314463/
Samaritan Girl,2004,"['Back to top', 'Drama']",7.0,N/A,"$328,161","$1,000,000 (estimated)",N/A,https://www.imdb.com/title/tt0397619/
Pulisi gae-im,2004,"['Back to top', 'Drama']",4.5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt1021098/
